Course Code,Course Title,Credits,Course Description,Crd Hour
ELE1001,Communicative English I,3,Develops English listening speaking reading and writing skills for basic communication,3-0-6
ELE1002,Communicative English II,3,Expands English communication skills for daily and professional interactions,3-0-6
ELE2000,Academic English,3,Improves academic English for reading writing listening and speaking in university contexts,2-3-6
ELE2001,Advanced Academic English,3,Advances academic English for research analysis and presentation purposes,2-3-6
GE2202,Ethics,3,Explores moral values ethics and professional responsibility,2-2-5
CSX3001,Fundamentals of Computer Programming,3,Introduces fundamentals of computer programming logic and structure,3-0-6
EG1003,Introduction to Internet of Things (IoTs),3,"Introduces fundamental concepts, components, and real-world applications of Internet of Things technologies.",3-0-6
EG1004,Artificial Intelligence for Beginners,3,Provides a basic understanding of artificial intelligence principles and introductory AI applications.,3-0-6
ITX1007,Data Analytics for Entrepreneurs,3,Covers essential data analytics techniques used for business decision-making and entrepreneurial insights.,2-2-5
ITX2011,Mathematical Foundations for Informatics,3,Builds foundational mathematical skills required for informatics and computational problem-solving.,3-0-6
ITX2009,Presentation and Data Visualization Techniques,3,Teaches effective presentation methods and data visualization techniques for clear information communication.,3-0-6
ITX3002,Introduction to Information Technology,3,"Provides an overview of core information technology concepts, systems, and practical applications.",3-0-6
ITX3003,Business Systems,3,Examines business systems and their roles in supporting organizational processes and decision-making.,3-0-6
ITX3004,Information System Analysis and Design,3,"Introduces processes and techniques for analyzing, modeling, and designing effective information systems.",3-0-6
IIX4509,Cybersecurity,3,"Covers fundamental principles of cybersecurity, including threats, vulnerabilities, and protection strategies.",3-0-6
ITX3006,Database Management Systems,3,"Introduces concepts and techniques for designing, managing, and using relational database systems.",3-0-6
ITX3009,Senior Project I,3,"Guides students through planning, research, and initial development phases of a senior-level project.",0-9-0
ITX3010,Senior Project II,3,"Focuses on completing, refining, and presenting the final deliverables of a senior-level project.",0-9-0
CE4310,Introduction to Financial Technology,3,"Introduces key principles, technologies, and applications of financial technology systems.",3-0-6
ITX4202,Data Mining,3,Covers methods for discovering patterns and insights from large datasets using data mining techniques.,3-0-6
CE4304,Programming for Data Analytics,3,Teaches programming skills and tools used for data analytics and data-driven problem-solving.,3-0-6
ITX3007,Software Engineering,3,"Introduces principles, methodologies, and processes of developing high-quality software systems.",3-0-6
ITX4508,Quantitative Research for Digital Business,3,Covers quantitative research methods applied to data-driven studies in digital business.,3-0-6
ITX4112,Collaborative Applications for Informatics,3,"Introduces collaborative digital tools and applications for teamwork, productivity, and communication.",3-0-6
CSX2009,Cloud Computing,3,Explores fundamental concepts and services of cloud computing and their practical applications.,3-0-6
CSX3005,Computer Networks,3,"Provides an understanding of computer network principles, architectures, and communication protocols.",3-0-6
CSX3002,Object-Oriented Concepts and Programming,3,Covers object-oriented programming concepts and problem-solving using object-oriented design.,3-0-6
ITX3008,IT Project Management,3,"Introduces principles and practices for planning, organizing, and managing information technology projects.",3-0-6
ITX4103,Requirement Engineering,3,"Covers techniques and processes for identifying, analyzing, and documenting software requirements.",3-0-6
ITX4104,Software Testing,3,"Introduces methods and tools for testing software quality, performance, and reliability.",3-0-6
ITX4106,Enterprise Architectures,3,Introduces principles and frameworks for designing and managing enterprise architectures.,3-0-6
ITX4110,Enterprise System Integration,3,Covers techniques and technologies used to integrate diverse enterprise systems and applications.,3-0-6
ITX4111,Software Architectures,3,Explores architectural patterns and design principles for developing large-scale software systems.,3-0-6
