Course Code,Course Title,Credits,Course Description,Crd Hour
ELE1001,Communicative English I,3,"English skills in listening, speaking, reading, and writing for efficient communication in various contexts.",3-2-6
ELE1002,Communicative English II,3,"Communicative English using various language learning strategies, reinforcing listening, speaking, reading, and writing skills through interactive activities in various contexts.",3-2-6
ELE2000,Academic English,3,"Academic English with a multidisciplinary approach, emphasizing high-level reading, writing, listening, and speaking skills essential for effective learning at the university level.",3-2-6
ELE2001,Advanced Academic English,3,"Advanced English for academic purposes with a multidisciplinary approach, emphasizing critical and analytical thinking in reading, writing, listening, and speaking essential for effective learning at the university level.",3-2-6
GE1403,Communication in Thai,3,"Communication skills to enhance understanding by effective listening, reading, writing and public speaking; information search for academic writing.",3-0-6
GE1408,Thai Usage,3,"Enhance listening and speaking skills in daily life, write and read Thai consonants, vowels, tones, and grammar and create accurate basic sentences.",3-0-6
GE1409,Thai Language for intercultural communication,3,"Basic Thai language for communication across different culture, basic listening and speaking Thai in diverse context, Thai cultural and traditional background, ways of life, festivals and local culture in different parts of Thailand, Thai culture for competent intercultural relations.",3-0-6
GE2102,Human Heritage and Globalization,3,"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",3-0-6
BBA1001,Business Exploration,3,"Introductory business course focusing on different aspects of business, such as the fundamental principles of organization, legal forms of business ownership, and business activities related to management, marketing, production, accounting, and finance. Real world examples and case studies are also included.",3-0-6
GE2202,Ethics,3,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life. Civil right and duties.",3-0-6
GE1302,Ecology and Sustainability,3,"General science, scientific approaches, understanding the interrelationships of the nature, identification and analysis of environmental problems, application and alternative solutions for preventing and solving the environmental problems.",3-0-6
IBE1122,Accounting for Entrepreneurs,3,"This course will focus on understanding and interpreting financial accounting information on financial statements for Accounting and Taxation purposes. In addition, students will learn how to analyze financial statements and how financial information can be effectively used for planning, controlling, and making the intelligent decisions in business operation",3-0-6
MA1200,Mathematics for Business,3,"Relation and Various functions: linear, polynomial, exponential, logarithmic, rational and their applications in business and economics, linear programming, mathematics of finance and differential calculus: limits, derivatives, and optimization.",3-0-6
CSX2003,Principles of Statistics,3,"Basic probability theory, random variables, sampling distributions, statistical inference for one population and two populations, Analysis of Variance, and analysis of categorical data.",3-0-6
CSX2006,Mathematics and Statistics for Data Science,3,"Linear algebra such as vector spaces in n-space, inner product, norm and distance, orthogonal vector, vector product, Orthogonal functions and Fourier series, including various techniques in multivariate data analysis such as multiple regression analysis, discriminant analysis, logistic regression analysis, principal component analysis, factor analysis, and cluster analysis.",3-0-6
CSX2008,Mathematics Foundation for Computer Science,3,"Discrete mathematics as the basis of computer science, set theory, relation and function, recursive functions, logic and logical proving, mathematical reasoning, graph theory, tree, algebraic structure, probability, model of computation and automata.",3-0-6
ITX2005,Design Thinking,3,"Overview of design process, problem interpretation, ideation, experimentation, solution discovery, design thinking approach to develop products, services, or solutions for complex problems; design thinking methodology, techniques, and supporting tools.",3-0-6
ITX2007,Data Science,3,"Comprehensive problem-solving mindset, principles, techniques and tools to deal with various facets of data science practices including data preparation and visualization, exploration, description and prediction required for knowledge extraction in both science and business domains.",3-0-6
ITX3002,Introduction to Information Technology,3,"Components of IT systems, its usage and applications, computer hardware and software and its operations, communication systems and computer networks basic, applications of current technology, emerging IT-related technologies.",3-0-6
CSX3010,Senior Project I,3,"Specific project which requires students to design and develop a concrete program or system, analyze the problem, define the solution and design the system by applying the various computer science concepts. The advisor whom the students select will guide them throughout the project development. The students must give presentation which includes oral examination.",0-9-0
CSX3011,Senior Project II,3,"System development project from the industry, students have to work with the companies under the supervision of their advisor throughout the project. The students must give presentation which includes oral examination.",0-9-0
CSX3001,Fundamentals of Computer Programming,3,"History of computer, components of a computer system, coding and numbering systems, algorithm and development process of algorithms and expression of algorithms in terms of flowchart and pseudo code, implementation of algorithms using one of the high level languages that are used widely in the industry with emphasis on the nature and structure of the language, techniques of programming for both numerical and non-numerical processing, structure of the programming languages and how to develop structured programming.",3-0-6
