Course Code,Course Title,Credits,Course Description,Crd Hour
ELE1001,Communicative English I,3,Develops English listening speaking reading and writing skills for basic communication,3-2-6
ELE1002,Communicative English II,3,Expands English communication skills for daily and professional interactions,3-2-6
ELE2000,Academic English,3,Improves academic English for reading writing listening and speaking in university contexts,3-2-6
ELE2001,Advanced Academic English,3,Advances academic English for research analysis and presentation purposes,3-2-6
GE1403,Communication in Thai,3,Enhances Thai language skills for communication in social and professional settings,3-0-6
GE1408,Thai Usage,3,Focuses on correct Thai grammar usage and clear expression,3-0-6
GE1409,Thai Language for intercultural communication,3,Develops Thai communication for multicultural and professional environments,3-0-6
GE2102,Human Heritage and Globalization,3,Explores cultural heritage and globalization impacts on modern life,3-0-6
GE2110,Human Civilizations and Global Citizens,2,Examines global civilizations and promotes global citizenship awareness,3-0-6
BBA1004,Essential Marketing for Entrepreneurs,2,Introduces basic marketing principles for entrepreneurial ventures,3-0-6
BBA1005,Essential Finance for Entrepreneurs,2,Covers fundamental finance concepts for business entrepreneurs,3-0-6
BBA1006,Essential Economics for Entrepreneurs,2,Introduces essential economics for entrepreneurial decision making,3-0-6
GE2202,Ethics,3,Explores moral values ethics and professional responsibility,3-0-6
BBA1007,Data Analytics for Entrepreneurs,3,Applies data analytics for business problem solving,3-0-6
GE1303,Science for Sustainable Future,2,Studies science principles supporting sustainable development,3-0-6
CSX2006,Mathematics and Statistics for Data Science,3,Applies mathematics and statistics in data science contexts,3-0-6
ITX2005,Design Thinking,3,Introduces design thinking process for creative problem solving,3-0-6
ITX3002,Introduction to Information Technology,3,Provides overview of information technology concepts and trends,3-0-6
ITX3004,Information System Analysis and Design,3,Covers analysis and design of information systems,3-0-6
ITX3003,Business Systems,3,Examines structure and operation of business information systems,3-0-6
ITX3008,IT Project Management,3,Teaches principles of IT project management,3-0-6
ITX4503,Information System Security,3,Introduces concepts of information system security and risk management,3-0-6
ITX2004,UI/UX Design and Prototyping,3,Covers fundamentals of user interface and user experience design,3-0-6
ITX2007,Data Science,3,Applies data science for business and technical applications,3-0-6
ITX2009,Presentation and Data Visualization Techniques,3,Teaches data presentation visualization and storytelling techniques,3-0-6
ITX3006,Database Management Systems,3,Covers database concepts and management system fundamentals,3-0-6
ITX3009,Senior Project I,3,Guides project proposal and development for senior project part one,0-9-0
ITX3010,Senior Project II,3,Completes implementation and presentation for senior project part two,0-9-0
CSX3001,Fundamentals of Computer Programming,3,Introduces fundamentals of computer programming logic and structure,3-0-6
CSX3002,Object-Oriented Concepts and Programming,3,Covers object oriented programming concepts and design principles,3-0-6
CSX3003,Data Structure and Algorithms,3,Focuses on data structures and algorithmic problem solving,3-0-6
ITX3007,Software Engineering,3,Teaches software engineering process and methodologies,3-0-6
CSX2009,Cloud Computing,3,Introduces principles of cloud computing and services,3-0-6
CSX3005,Computer Networks,3,Explains computer network design and communication systems,3-0-6
CSX4107,Web Application Development,3,Covers principles of web application development,3-0-6
CSX4109,Android Application Development,3,Develops android mobile applications using modern frameworks,3-0-6
ITX4103,Requirement Engineering,3,Explains requirement analysis and management in software projects,3-0-6
ITX4104,Software Testing,3,Covers principles and techniques of software testing,3-0-6
ITX4110,Enterprise System Integration,3,Teaches integration of enterprise systems and business processes,3-0-6
ITX4111,Software Architectures,3,Covers software architecture design and evaluation techniques,3-0-6
ITX4518,Blockchain and Digital Currencies,3,Explores blockchain technology and digital currencies applications,3-0-6
CSX4201,Artificial Intelligence Concepts,3,Introduces artificial intelligence fundamentals and problem solving,3-0-6
CSX4202,Data Mining,3,Covers data mining concepts and analytical techniques,3-0-6
CSX4211,Data Engineering,3,Focuses on data engineering design and pipeline construction,3-0-6
ITX4212,Predictive Analytics,3,Applies predictive analytics for business and technical insights,3-0-6
ITX4213,Artificial Intelligence for Business,3,Applies artificial intelligence solutions to business problems,3-0-6
ITX4214,Data Science Project Management,3,Covers data science project management principles,3-0-6
ITX4215,Business Insights and Visualization,3,Develops visualization techniques for business insights and decisions,3-0-6
CA1103,Computer Graphic Design,3,Introduces computer graphic design principles and digital tools,3-0-6
CA2110,Media Literacy and Ethical Concerns,3,Explores media literacy and ethical use of digital content,3-0-6
CA3100,Consumer Insight and Tools,3,Analyzes consumer insights for marketing strategy development,3-0-6
CA3111,Creative Entrepreneurial Project Management,3,Covers creative project management for entrepreneurs,3-0-6
FT4144,Food Ingredients Functionality,3,Covers food ingredient functionality and applications in food products,3-0-6
FT4152,Bioinformatics for Food Technology,3,Introduces bioinformatics for food technology and data analysis,3-0-6
FT4153,Integrated IOT to Smart and Green Food Industry,3,Integrates IoT for smart and sustainable food industry solutions,3-0-6
FT4154,Intelligent Packaging Technology,3,Explores intelligent packaging design and emerging technologies,3-0-6
MB3541,Online Social Media for Music Business,3,Applies online social media strategies for music business promotion,3-0-6
MB3550,Feasibility Study for Music Entrepreneur,3,Conducts feasibility study for music entrepreneurship projects,3-0-6
MB3551,Creative Music Entrepreneurship,3,Covers entrepreneurship and business creation in music industry,3-0-6
IBE2103,Business Finance,3,Introduces financial principles for business operations,3-0-6
IBE3101,Business Analysis,3,Analyzes business processes and data for performance improvement,3-0-6
BFN3211,Investment Strategy and Applied Valuation,3,Develops investment strategies and business valuation skills,3-0-6
BFN4314,Personal Wealth Management and Financial Planning,3,Covers personal wealth management and financial planning principles,3-0-6
BFN4421,Portfolio Management and Analysis 3,3,Analyzes portfolio performance and investment decision making,3-0-6
BFN4431,Startup Finance and FinTech,3,Explores startup finance models and financial technology applications,3-0-6
